ASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,NASA [m^2/cm^3],POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,CH4DC
0.0,878.884,3.37,4.7185500000000005,4.7185500000000005,516.355,0.0,0.0,0.205652,0.22675999999999996,1.10264,516.355,468.2897409852717,0.22676,0.205652,60.80723926321593
0.0,3013.26,3.5186800000000003,5.14924,5.14924,394.651,0.0,0.0,0.1419369999999999,0.178,1.25408,394.65099999999995,314.6936399591732,0.178,0.1419369999999999,48.00533743800581
0.0,1320.38,2.4972,4.455430000000001,4.40653,158.361,0.0,0.0,0.0847512,0.12924,1.52493,158.361,103.84804548405498,0.12924,0.08475120000000003,1.1631316174844812
1241.53,19186.4,4.3226,11.39486,11.33724,216.42,0.430017,0.4081400000000001,0.106519,0.1011,0.949126,1457.95,1536.0974201528566,0.5092399999999999,0.536536,140.90386560003927
1283.55,18921.000000000004,4.5108,11.27344,11.27344,224.215,0.419845,0.4111400000000001,0.10499700000000001,0.10282,0.979267,1507.765,1539.687337569835,0.5139600000000001,0.5248419999999999,139.91170108705
0.0,2329.31,3.32948,4.939690000000001,4.93889,209.511,0.0,0.0,0.0903759,0.14018,1.55108,209.51099999999997,135.07427083064704,0.14017999999999997,0.09037590000000001,1.3574528743359053
641.266,2633.04,4.14331,4.8208400000000005,4.80387,0.0,0.136436,0.24024,0.0,0.0,1.76082,641.266,364.1860042480208,0.24024,0.13643599999999997,57.68978113701792
600.107,2602.59,4.06893,4.80529,4.80529,0.0,0.133609,0.23884,0.0,0.0,1.7876,600.107,335.7054150816738,0.23884,0.133609,57.28674847767864
600.0419999999999,2572.73,4.04921,4.7727,4.7549,0.0,0.125864,0.22812,0.0,0.0,1.81243,600.0419999999999,331.0704413411829,0.22812,0.12586399999999998,55.60598234452646
539.969,2546.99,4.0168,4.74458,4.72731,0.0,0.123162,0.22762,0.0,0.0,1.84813,539.969,292.170464198947,0.22762,0.123162,57.45666093388164
532.243,2511.78,3.9715,4.73097,4.71386,0.0,0.11787599999999998,0.22472,0.0,0.0,1.90641,532.243,279.18600930544847,0.22472,0.11787599999999998,55.00492615597732
498.734,2493.02,3.94356,4.70447,4.68752,0.0,0.11350199999999999,0.21898,0.0,0.0,1.9293,498.73400000000004,258.50515731094174,0.21898,0.11350199999999999,53.315353844112025
464.61699999999996,2477.63,3.92184,4.69665,4.69665,0.0,0.10852800000000001,0.2137599999999999,0.0,0.0,1.96962,464.6170000000001,235.89169484469085,0.2137599999999999,0.10852800000000001,53.36023252990947
1428.12,2085.1400000000003,4.0515,6.22728,6.20206,0.0,0.231206,0.4433399999999999,0.0,0.0,1.91751,1428.12,744.778384467356,0.4433399999999999,0.231206,124.62012903976388
335.20400000000006,4703.28,3.82431,4.33176,4.320930000000001,0.0,0.11269800000000002,0.1517599999999999,0.0,0.0,1.34661,335.20400000000006,248.92433592502653,0.1517599999999999,0.11269800000000002,28.377925569505003
